Symbol,Sector,Daily,Weekly,Monthly
20MICRONS.NS,Minerals & Mining,NO,NO,NO
21STCENMGM.NS,Capital Markets,NO,NO,NO
360ONE.NS,Capital Markets,NO,NO,NO
3IINFOLTD.NS,IT - Software,NO,NO,NO
3MINDIA.NS,Diversified,NO,NO,NO
3PLAND.NS,Finance,NO,NO,NO
5PAISA.NS,Capital Markets,NO,NO,NO
63MOONS.NS,IT - Software,NO,NO,NO
A2ZINFRA.NS,Construction,NO,NO,NO
AAATECH.NS,Commercial Services & Supplies,NO,NO,NO
AADHARHFC.NS,Finance,NO,NO,NO
AAKAAR.NS,Personal Products,NO,NO,NO
AAKASH.NS,Oil,NO,NO,NO
AARADHYA.NS,"Paper, Forest & Jute Products",NO,NO,NO
AAREYDRUGS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AARNAV.NS,Textiles & Apparels,NO,NO,NO
AARON.NS,Industrial Manufacturing,NO,NO,NO
AARTECH.NS,Electrical Equipment,NO,NO,NO
AARTIDRUGS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AARTIIND.NS,Chemicals & Petrochemicals,NO,NO,NO
AARTIPHARM.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AARTISURF.NS,Chemicals & Petrochemicals,NO,NO,NO
AARVI.NS,Commercial Services & Supplies,NO,NO,NO
AATMAJ.NS,Healthcare Services,NO,NO,NO
AAVAS.NS,Finance,NO,NO,NO
ABAN.NS,Oil,NO,NO,NO
ABB.NS,Electrical Equipment,NO,NO,NO
ABBOTINDIA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ABCAPITAL.NS,Finance,NO,NO,NO
ABCOTS.NS,Textiles & Apparels,NO,NO,NO
ABDL.NS,Beverages,NO,NO,NO
ABFRL.NS,Retailing,NO,NO,NO
ABHAPOWER.NS,Industrial Products,NO,NO,NO
ABINFRA.NS,Construction,NO,NO,NO
ABLBL.NS,Retailing,NO,NO,NO
ABMINTLLTD.NS,Commercial Services & Supplies,NO,NO,NO
ABREL.NS,"Paper, Forest & Jute Products",NO,NO,NO
ABSLAMC.NS,Capital Markets,NO,NO,NO
ABSMARINE.NS,Transport Services,NO,NO,NO
ACC.NS,Cement & Cement Products,NO,NO,NO
ACCELYA.NS,IT - Software,NO,NO,NO
ACCENTMIC.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ACCORD.NS,Telecom - Services,NO,NO,NO
ACCPL.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ACCURACY.NS,Transport Services,NO,NO,NO
ACE.NS,"Agricultural, Commercial & Construction Vehicles",NO,NO,NO
ACEINTEG.NS,Commercial Services & Supplies,NO,NO,NO
ACETEC.NS,Retailing,NO,NO,NO
ACI.NS,Chemicals & Petrochemicals,NO,NO,NO
ACL.NS,Cement & Cement Products,NO,NO,NO
ACMESOLAR.NS,Power,NO,NO,NO
ACTIVEINFR.NS,Realty,NO,NO,NO
ACUTAAS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ADANIENSOL.NS,Power,NO,NO,NO
ADANIENT.NS,Metals & Minerals Trading,NO,NO,NO
ADANIGREEN.NS,Power,NO,NO,NO
ADANIPORTS.NS,Transport Infrastructure,NO,NO,NO
ADANIPOWER.NS,Power,NO,NO,NO
ADDICTIVE.NS,Other Consumer Services,NO,NO,NO
ADFFOODS.NS,Food Products,NO,NO,NO
ADL.NS,Consumer Durables,NO,NO,NO
ADOR.NS,Industrial Products,NO,NO,NO
ADROITINFO.NS,IT - Services,NO,NO,NO
ADSL.NS,IT - Services,NO,NO,NO
ADVAIT.NS,Industrial Products,NO,NO,NO
ADVANCE.NS,Fertilizers & Agrochemicals,NO,NO,NO
ADVANIHOTR.NS,Leisure Services,NO,NO,NO
ADVENTHTL.NS,Leisure Services,NO,NO,NO
ADVENZYMES.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AEGISLOG.NS,Gas,NO,NO,NO
AEGISVOPAK.NS,Oil,NO,NO,NO
AEPL.NS,Electrical Equipment,NO,NO,NO
AEQUS.NS,Aerospace & Defense,NO,NO,NO
AEROENTER.NS,Industrial Products,NO,NO,NO
AEROFLEX.NS,Industrial Products,NO,NO,NO
AERON.NS,Industrial Products,NO,NO,NO
AERONEU.NS,Industrial Products,NO,NO,NO
AESTHETIK.NS,Construction,NO,NO,NO
AETHER.NS,Chemicals & Petrochemicals,NO,NO,NO
AFCONS.NS,Construction,NO,NO,NO
AFFLE.NS,IT - Services,NO,NO,NO
AFFORDABLE.NS,Industrial Manufacturing,NO,NO,NO
AFIL.NS,Finance,NO,NO,NO
AFSL.NS,Finance,NO,NO,NO
AGARIND.NS,Chemicals & Petrochemicals,NO,NO,NO
AGARWALEYE.NS,Healthcare Services,NO,NO,NO
AGARWALFT.NS,Industrial Products,NO,NO,NO
AGARWALTUF.NS,Industrial Products,NO,NO,NO
AGI.NS,Industrial Products,NO,NO,NO
AGIIL.NS,Realty,NO,NO,NO
AGNI.NS,Construction,NO,NO,NO
AGRITECH.NS,Agricultural Food & other Products,NO,NO,NO
AGROPHOS.NS,Fertilizers & Agrochemicals,NO,NO,NO
AGSTRA.NS,Financial Technology (Fintech),NO,NO,NO
AGUL.NS,Industrial Products,NO,NO,NO
AHCL.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AHIMSA.NS,Industrial Products,NO,NO,NO
AHLADA.NS,Consumer Durables,NO,NO,NO
AHLEAST.NS,Leisure Services,NO,NO,NO
AHLUCONT.NS,Construction,NO,NO,NO
AHLWEST.NS,Leisure Services,NO,NO,NO
AIAENG.NS,Industrial Products,NO,NO,NO
AIIL.NS,Finance,NO,NO,NO
AILIMITED.NS,Construction,NO,NO,NO
AIMTRON.NS,Industrial Manufacturing,NO,NO,NO
AIRAN.NS,IT - Services,NO,NO,NO
AIROLAM.NS,Consumer Durables,NO,NO,NO
AISL.NS,Commercial Services & Supplies,NO,NO,NO
AJANTPHARM.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AJAXENGG.NS,"Agricultural, Commercial & Construction Vehicles",NO,NO,NO
AJMERA.NS,Realty,NO,NO,NO
AJOONI.NS,Food Products,NO,NO,NO
AKANKSHA.NS,Electrical Equipment,NO,NO,NO
AKASH.NS,Construction,NO,NO,NO
AKG.NS,Commercial Services & Supplies,NO,NO,NO
AKI.NS,Consumer Durables,NO,NO,NO
AKIKO.NS,Finance,NO,NO,NO
AKSHAR.NS,Textiles & Apparels,NO,NO,NO
AKSHARCHEM.NS,Chemicals & Petrochemicals,NO,NO,NO
AKSHOPTFBR.NS,Telecom - Equipment & Accessories,NO,NO,NO
AKUMS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AKZOINDIA.NS,Consumer Durables,NO,NO,NO
ALANKIT.NS,Commercial Services & Supplies,NO,NO,NO
ALBERTDAVD.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ALCODIS.NS,Beverages,NO,NO,NO
ALEMBICLTD.NS,Realty,NO,NO,NO
ALGOQUANT.NS,Finance,NO,NO,NO
ALICON.NS,Auto Components,NO,NO,NO
ALIVUS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ALKALI.NS,Chemicals & Petrochemicals,NO,NO,NO
ALKEM.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ALKYLAMINE.NS,Chemicals & Petrochemicals,NO,NO,NO
ALLCARGO.NS,Transport Services,NO,NO,NO
ALLDIGI.NS,Commercial Services & Supplies,NO,NO,NO
ALLETEC.NS,IT - Software,NO,NO,NO
ALLTIME.NS,Consumer Durables,NO,NO,NO
ALMONDZ.NS,Capital Markets,NO,NO,NO
ALOKINDS.NS,Textiles & Apparels,NO,NO,NO
ALPA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ALPEXSOLAR.NS,Electrical Equipment,NO,NO,NO
ALPHAGEO.NS,Oil,NO,NO,NO
ALUWIND.NS,Industrial Products,NO,NO,NO
AMAGI.NS,IT - Services,NO,NO,NO
AMANTA.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
AMBANIORGO.NS,Chemicals & Petrochemicals,NO,NO,NO
AMBER.NS,Consumer Durables,NO,NO,NO
AMBEY.NS,Fertilizers & Agrochemicals,NO,NO,NO
AMBICAAGAR.NS,Household Products,NO,NO,NO
AMBIKCO.NS,Textiles & Apparels,NO,NO,NO
AMBUJACEM.NS,Cement & Cement Products,NO,NO,NO
AMCL.NS,Industrial Products,NO,NO,NO
AMDIND.NS,Industrial Products,NO,NO,NO
AMEYA.NS,Industrial Products,NO,NO,NO
AMIABLE.NS,Transport Services,NO,NO,NO
AMIRCHAND.NS,Agricultural Food & other Products,NO,NO,NO
AMJLAND.NS,Realty,NO,NO,NO
AMNPLST.NS,Chemicals & Petrochemicals,NO,NO,NO
AMRUTANJAN.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ANANDRATHI.NS,Capital Markets,NO,NO,NO
ANANTAM.NS,Transport Infrastructure,NO,NO,NO
ANANTRAJ.NS,Realty,NO,NO,NO
ANDHRAPAP.NS,"Paper, Forest & Jute Products",NO,NO,NO
ANDHRSUGAR.NS,Chemicals & Petrochemicals,NO,NO,NO
ANDREWYU.NS,Agricultural Food & other Products,NO,NO,NO
ANGELONE.NS,Capital Markets,NO,NO,NO
ANIKINDS.NS,Commercial Services & Supplies,NO,NO,NO
ANKITMETAL.NS,Ferrous Metals,NO,NO,NO
ANLON.NS,Commercial Services & Supplies,NO,NO,NO
ANMOL.NS,Consumable Fuels,NO,NO,NO
ANNAPURNA.NS,Food Products,NO,NO,NO
ANONDITA.NS,Personal Products,NO,NO,NO
ANSALAPI.NS,Realty,NO,NO,NO
ANTELOPUS.NS,Oil,NO,NO,NO
ANTGRAPHIC.NS,Industrial Products,NO,NO,NO
ANTHEM.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ANUHPHR.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
ANUP.NS,Industrial Manufacturing,NO,NO,NO
ANURAS.NS,Chemicals & Petrochemicals,NO,NO,NO
ANYA.NS,Fertilizers & Agrochemicals,NO,NO,NO
ANZEN.NS,Power,NO,NO,NO
APARINDS.NS,Electrical Equipment,NO,NO,NO
APCL.NS,Cement & Cement Products,NO,NO,NO
APCOTEXIND.NS,Industrial Products,NO,NO,NO
APEX.NS,Food Products,NO,NO,NO
APEXECO.NS,Other Utilities,NO,NO,NO
APLAPOLLO.NS,Industrial Products,NO,NO,NO
APLLTD.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
APOLLO.NS,Aerospace & Defense,NO,NO,NO
APOLLOHOSP.NS,Healthcare Services,NO,NO,NO
APOLLOPIPE.NS,Industrial Products,NO,NO,NO
APOLLOTYRE.NS,Auto Components,NO,NO,NO
APOLSINHOT.NS,Leisure Services,NO,NO,NO
APRAMEYA.NS,Healthcare Equipment & Supplies,NO,NO,NO
APS.NS,Electrical Equipment,NO,NO,NO
APSISAERO.NS,Aerospace & Defense,NO,NO,NO
APTECHT.NS,Other Consumer Services,NO,NO,NO
APTUS.NS,Finance,NO,NO,NO
AQYLON.NS,Entertainment,NO,NO,NO
ARABIAN.NS,Petroleum Products,NO,NO,NO
ARCHIDPLY.NS,Consumer Durables,NO,NO,NO
ARCHIES.NS,Consumer Durables,NO,NO,NO
ARCIIL.NS,Industrial Products,NO,NO,NO
ARE&M.NS,Auto Components,NO,NO,NO
ARENTERP.NS,Metals & Minerals Trading,NO,NO,NO
ARFIN.NS,Non - Ferrous Metals,NO,NO,NO
ARHAM.NS,Consumer Durables,NO,NO,NO
ARIES.NS,Fertilizers & Agrochemicals,NO,NO,NO
ARIHANTACA.NS,Other Consumer Services,NO,NO,NO
ARIHANTCAP.NS,Capital Markets,NO,NO,NO
ARIHANTSUP.NS,Realty,NO,NO,NO
ARIS.NS,Other Construction Materials,NO,NO,NO
ARISTO.NS,Fertilizers & Agrochemicals,NO,NO,NO
ARKADE.NS,Realty,NO,NO,NO
ARMANFIN.NS,Finance,NO,NO,NO
ARMOUR.NS,Commercial Services & Supplies,NO,NO,NO
AROGRANITE.NS,Consumer Durables,NO,NO,NO
ARROWGREEN.NS,Industrial Products,NO,NO,NO
ARSHIYA.NS,Transport Services,NO,NO,NO
