Symbol,Sector
20MICRONS.NS,Minerals & Mining
21STCENMGM.NS,Capital Markets
360ONE.NS,Capital Markets
3IINFOLTD.NS,IT - Software
3MINDIA.NS,Diversified
3PLAND.NS,Finance
5PAISA.NS,Capital Markets
63MOONS.NS,IT - Software
A2ZINFRA.NS,Construction
AAATECH.NS,Commercial Services & Supplies
AADHARHFC.NS,Finance
AAKAAR.NS,Personal Products
AAKASH.NS,Oil
AARADHYA.NS,"Paper, Forest & Jute Products"
AAREYDRUGS.NS,Pharmaceuticals & Biotechnology
AARNAV.NS,Textiles & Apparels
AARON.NS,Industrial Manufacturing
AARTECH.NS,Electrical Equipment
AARTIDRUGS.NS,Pharmaceuticals & Biotechnology
AARTIIND.NS,Chemicals & Petrochemicals
AARTIPHARM.NS,Pharmaceuticals & Biotechnology
AARTISURF.NS,Chemicals & Petrochemicals
AARVI.NS,Commercial Services & Supplies
AATMAJ.NS,Healthcare Services
AAVAS.NS,Finance
ABAN.NS,Oil
ABB.NS,Electrical Equipment
ABBOTINDIA.NS,Pharmaceuticals & Biotechnology
ABCAPITAL.NS,Finance
ABCOTS.NS,Textiles & Apparels
ABDL.NS,Beverages
ABFRL.NS,Retailing
ABHAPOWER.NS,Industrial Products
ABINFRA.NS,Construction
ABLBL.NS,Retailing
ABMINTLLTD.NS,Commercial Services & Supplies
ABREL.NS,"Paper, Forest & Jute Products"
ABSLAMC.NS,Capital Markets
ABSMARINE.NS,Transport Services
ACC.NS,Cement & Cement Products
ACCELYA.NS,IT - Software
ACCENTMIC.NS,Pharmaceuticals & Biotechnology
ACCORD.NS,Telecom - Services
ACCPL.NS,Pharmaceuticals & Biotechnology
ACCURACY.NS,Transport Services
ACE.NS,"Agricultural, Commercial & Construction Vehicles"
ACEINTEG.NS,Commercial Services & Supplies
ACETEC.NS,Retailing
ACI.NS,Chemicals & Petrochemicals
ACL.NS,Cement & Cement Products
ACMESOLAR.NS,Power
ACTIVEINFR.NS,Realty
ACUTAAS.NS,Pharmaceuticals & Biotechnology
ADANIENSOL.NS,Power
ADANIENT.NS,Metals & Minerals Trading
ADANIGREEN.NS,Power
ADANIPORTS.NS,Transport Infrastructure
ADANIPOWER.NS,Power
ADDICTIVE.NS,Other Consumer Services
ADFFOODS.NS,Food Products
ADL.NS,Consumer Durables
ADOR.NS,Industrial Products
ADROITINFO.NS,IT - Services
ADSL.NS,IT - Services
ADVAIT.NS,Industrial Products
ADVANCE.NS,Fertilizers & Agrochemicals
ADVANIHOTR.NS,Leisure Services
ADVENTHTL.NS,Leisure Services
ADVENZYMES.NS,Pharmaceuticals & Biotechnology
AEGISLOG.NS,Gas
AEGISVOPAK.NS,Oil
AEPL.NS,Electrical Equipment
AEQUS.NS,Aerospace & Defense
AEROENTER.NS,Industrial Products
AEROFLEX.NS,Industrial Products
AERON.NS,Industrial Products
AERONEU.NS,Industrial Products
AESTHETIK.NS,Construction
AETHER.NS,Chemicals & Petrochemicals
AFCONS.NS,Construction
AFFLE.NS,IT - Services
AFFORDABLE.NS,Industrial Manufacturing
AFIL.NS,Finance
AFSL.NS,Finance
AGARIND.NS,Chemicals & Petrochemicals
AGARWALEYE.NS,Healthcare Services
AGARWALFT.NS,Industrial Products
AGARWALTUF.NS,Industrial Products
AGI.NS,Industrial Products
AGIIL.NS,Realty
AGNI.NS,Construction
AGRITECH.NS,Agricultural Food & other Products
AGROPHOS.NS,Fertilizers & Agrochemicals
AGSTRA.NS,Financial Technology (Fintech)
AGUL.NS,Industrial Products
AHCL.NS,Pharmaceuticals & Biotechnology
AHIMSA.NS,Industrial Products
AHLADA.NS,Consumer Durables
AHLEAST.NS,Leisure Services
AHLUCONT.NS,Construction
AHLWEST.NS,Leisure Services
